datum, rekeningnummer, debiteurnummer, crediteurnummer, medewerker, omschrijving, bedrag, faktuurnr, GUID
2004-04-28 00:00:00,     3000, 60021      ,,80001,Delta 5000 60021,-399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
2004-04-28 00:00:00,     7000, 60021      ,,80001,Delta 5000 60021,399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
2004-04-28 00:00:00,     3000, 60021      ,,80001,Delta 5000 60021,-399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
2004-04-28 00:00:00,     7000, 60021      ,,80001,Delta 5000 60021,399,10000118,{9D34275B-1EE9-4123-9E57-6CB8A87AA39F}
2004-04-28 00:00:00,     3000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     7000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     3000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     7000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     3000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     7000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     3000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     7000,,,80001,Serial/batch data,0,10000119,{542258C0-8687-44D7-853B-2D67E1EB863F}
2004-04-28 00:00:00,     3000,, 80001      ,80001, - To - DOESBURG,0,10000118,{B9D5C416-2BF7-41FF-AC82-69390959C4F1}
2004-04-28 00:00:00,     2400,, 80001      ,80001, - To - DOESBURG,0,10000118,{B9D5C416-2BF7-41FF-AC82-69390959C4F1}
2003-10-31 00:00:00,     1200, 60046      ,,80019,Sponsoring Worldtour,1220, 3000018,{5283F28A-9911-4D7D-87DB-64768B098026}
2003-10-31 00:00:00,     1300, 60046      ,,80019,Sponsoring Worldtour,-1220, 3000018,{5283F28A-9911-4D7D-87DB-64768B098026}
2003-06-26 00:00:00,     1100, 60042      ,,80001,Betaling Mountain House,4000,  789611,{B3A0B299-3BD8-43D7-98D9-F2FF4C0C82F7}
2003-06-26 00:00:00,     1300, 60042      ,,80001,Betaling Mountain House,-4000,  789611,{B3A0B299-3BD8-43D7-98D9-F2FF4C0C82F7}
2003-10-02 00:00:00,     1200, 60020      ,,80001,Betaling Deltabike,2100,    4958,{C37D4A5B-1914-4053-97F2-08EB549BFB20}
